ABRAMSON, G
FRISTON, K
BUCOLO, M
FORTUNA, L
LAROSA, M
BUHL, J
GAUTRAIS, J
SOLE, R
KUNTZ, P
VALVERDE, S
DENEUBOURG, J
THERAULAZ, G
BURDA, Z
CORREIA, J
KRZYWICKI, A
JURKIEWICZ, J
BURIONI, R
CASSI, D
VEZZANI, A
BURNS, G
YOUNG, M
BURT, R
BUZSAKI, G
CHROBAK, J
GEISLER, C
HENZE, D
WANG, X
CALDARELLI, G
DELOSRIOS, P
MUNOZ, M
COCCETTI, F
CALLAWAY, D
HOPCROFT, J
KLEINBERG, J
STROGATZ, S
WATTS, D
CAMACHO, J
CAMPBELL, N
REECE, J
CAMPBELL, S
WANG, D
JAYAPRAKASH, C
SERVEDIO, V
COLAIORI, F
CARLSON, J
DOYLE, J
CARRERAS, B
LYNCH, V
DOBSON, I
NEWMAN, D
DOLROU, I
POOLE, A
CARUSO, F
LATORA, V
RAPISARDA, A
TADIC, B
CASTELLANO, C
VILONE, D
CATANIA, J
COATES, T
KEGELS, S
FULLILOVE, M
CHALLET, D
ZHANG, Y
CHAN, D
HUGHES, B
LEONG, A
REED, W
CHATE, H
PIKOVSKY, A
RUDZICK, O
CHAVEZ, M
HWANG, D
AMANN, A
CHEN, Q
CHANG, H
GOVINDAN, R
JAMIN, S
SHENKER, S
WILLINGER, W
CHEN, Y
RANGARAJAN, G
DING, M
CHERNIAK, C
CHANGIZI, M
KANG, D
MOKHTARZADA, Z
RODRIGUEZESTEBAN, R
CHKLOVSKII, D
KOULAKOV, A
MEL, B
SVOBODA, K
CHOWELL, G
HYMAN, J
EUBANK, S
VU, V
CLAUSET, A
MOORE, C
COHEN, J
BRIAND, F
NEWMAN, C
COHEN, R
BENAVRAHAM, D
HAVLIN, S
EREZ, K
CONNOR, R
HEITHAUS, M
BARRE, L
COPPERSMITH, S
KADANOFF, L
ZHANG, Z
CORDES, D
HAUGHTON, V
ARFANAKIS, K
CAREW, J
TURSKI, P
MORITZ, C
QUIGLEY, M
MEYERAND, M
CORMAN, S
KUHN, T
MCPHEE, R
DOOLEY, K
CORMEN, T
LEISERSON, C
RIVEST, R
STEIN, C
COSENZA, S
CRUCITTI, P
FRASCA, M
STAGNI, C
USAI, L
COULUMB, S
CRANE, D
CRIADO, R
FLORES, J
HERNANDEZBERMEJO, B
PELLO, J
ROMANCE, M
GARCIADELAMO, A
CRICK, F
KOCH, C
MARCHIORI, M
PORTA, S
CSANYI, G
SZENDROI, B
CSERMELY, P
CSETE, M
CUNHA, C
BESTAVROS, A
CROVELLA, M
CVETKOVIC, D
DOOB, M
SACHS, H
DAFONTOURACOSTA, L
DIAMBRA, L
DALEY, D
GANI, J
KENDALL, D
DALL, J
CHRISTENSEN, M
DAVIDSEN, J
DAVIS, A
GARDNER, B
GARDNER, M
DAVIS, G
GREVE, H
YOO, M
DEARCANGELIS, L
HERRMANN, H
DECASTRO, R
GROSSMAN, J
DEFFUANT, G
NEAU, D
AMBLARD, F
WEISBUCH, G
DEFRAYSSEIX, H
DEGROOT, M
DELIMAESILVA, D
MEDEIROSSOARES, M
HENRIQUES, M
SCHIVANIALVES, M
DEAGUILAR, S
DECARVALHO, T
CORSO, G
LUCENA, L
DELUCIA, M
BOTTACCIO, M
MONTUORI, M
PIETRONERO, L
DEMENEZES, M
MOUKARZEL, C
PENNA, T
DEMERS, A
GREENE, D
HAUSER, C
IRISH, W
LARSON, J
DEMOURA, A
MOTTER, A
GREBOGI, C
DERRIDA, B
FLYVBJERG, H
GARDNER, E
ZIPPELIUS, A
DESHAZER, D
BREBAN, R
OTT, E
ROY, R
DESTEXHE, A
MARDER, E
DEZSO, Z
DIEKMANN, O
HEESTERBEEK, J
DOBRIN, R
BEG, Q
DODDS, P
MUHAMAD, R
ROTHMAN, D
SABEL, C
DODEL, S
HERRMANN, J
GEISEL, T
DONATH, W
HOFFMAN, A
DONETTI, L
DOROGOVTSEV, S
GOLTSEV, A
MENDES, J
SAMUKHIN, A
DOYE, J
DU, D
GU, J
DUNNE, J
WILLIAMS, R
MARTINEZ, N
DURRETT, R
EAMES, K
KEELING, M
MIELSCH, L
ECHENIQUE, P
GOMEZGARDENES, J
MORENO, Y
VAZQUEZ, A
ECKMANN, J
MOSES, E
EGGHE, L
ROUSSEAU, R
EGUILUZ, V
CHIALVO, D
CECCHI, G
BALIKI, M
APKARIAN, A
KLEMM, K
EIGEN, M
SCHUSTER, P
EISENBERG, D
MARCOTTE, E
XENARIOS, I
YEATES, T
EISENBERG, E
LEVANON, E
ELDAR, A
ENGEL, A
FRIES, P
SINGER, W
MOLL, C
FRIED, I
OJEMANN, G
ENNIS, J
ERDOS, P
RENYI, A
ERGUN, G
RODGERS, G
ERIKSEN, K
SIMONSEN, I
MASLOV, S
EVERITT, B
FABRIKANT, A
KOUTSOUPIAS, E
PAPADIMITRIOU, C
FALCONER, K
FALOUTSOS, M
FALOUTSOS, P
FALOUTSOS, C
FARARO, T
SUNSHINE, M
FARKAS, I
DERENYI, I
FAUST, K
WILLERT, K
ROWLEE, D
SKVORETZ, J
FELL, D
FELLEMAN, D
VANESSEN, D
FEMAT, R
SOLISPERALES, G
FERGUSON, N
GARNETT, G
FERRERICANCHO, R
JANSSEN, C
KOHLER, R
FIDUCCIA, C
MATTHEYSES, R
FIEDLER, M
FILATRELLA, G
STRAUGHN, B
BARBARA, P
FINGELKURTS, A
KAHKONEN, S
FINK, K
JOHNSON, G
CARROLL, T
FITZHUGH, R
FLAKE, G
LAWRENCE, S
GILES, C
COETZEE, F
FONTES, L
SCHONMANN, R
SPATA, A
FORTUNATO, S
FOSTER, I
KESSELMAN, C
FOX, J
HILL, C
FRANK, L
FRANK, O
STRAUSS, D
FREEMAN, L
FRENCH, J
FRITH, C
LIDDLE, P
FRACKOWIAK, R
FRONCZAK, A
FRONCZAK, P
JEDYNAK, M
SIENKIEWICZ, J
FU, C
FUJISAKA, H
YAMADA, T
GADE, P
HU, C
GAFIYCHUK, V
LUBASHEVSKY, I
STOSYK, A
GALASKIEWICZ, J
MARSDEN, P
GALSTYAN, A
LERMAN, K
GAMMAITONI, L
HANGGI, P
JUNG, P
MARCHESONI, F
GAO, Z
HU, B
HU, G
GAREY, M
JOHNSON, D
GARFIELD, E
GARFINKEL, I
GLEI, D
MCLANAHAN, S
GARLASCHELLI, D
CASTRI, M
LOFFREDO, M
GASTNER, M
GAUTHIER, D
BIENFANG, J
GERSCHGORIN, S
GIOT, L
GIRVAN, M
GLANZ, J
PEREZPENA, R
GLASS, L
GLEISS, P
STADLER, P
GOH, K
GHIM, C
KAHNG, B
KIM, D
LEE, D
OH, E
GOLDBERG, D
NICHOLS, D
OKI, B
TERRY, D
GOLDBETER, A
GONZE, D
HOUART, G
LELOUP, J
DUPONT, G
GOLDWASSER, L
ROUGHGARDEN, J
GOLOMB, D
HANSEL, D
RINZEL, J
GOLUB, G
VANLOAN, C
FLORIA, L
GONZALES, M
SOUSA, A
HALLY, J
GOODHILL, A
SIMMEN, M
WILLSHAW, D
GOODMAN, M
HALL, D
AVERY, L
LOCKERY, S
GORMAN, S
TANGMUNARUNKIT, H
GRANOVETTER, M
GRASSBERGER, P
GRAY, C
KONIG, P
GREENHALGH, D
GREGOIRE, G
GROSS, J
KUJALA, J
HAMALAINEN, M
TIMMERMANN, L
SCHNITZLER, A
SALMELIN, R
ION, P
GUARDIOLA, X
LLAS, M
PEREZ, C
GUARE, J
GUELZIM, N
BOTTANI, S
BOURGINE, P
KEPES, F
GIRALT, F
MOSSA, S
TURTSCHI, A
GUPTA, S
HALL, G
BAHAR, S
HALL, K
HARI, R
ILMONIEMI, R
KNUUTILA, J
LOUNASMAA, O
HANDCOCK, M
JONES, J
SOMPOLINSKY, H
HARARY, F
HARWELL, L
HOPFIELD, J
LEIBLER, S
MURRAY, A
HAYES, B
HAYNIE, D
HEAGY, J
HEGSELMANN, R
KRAUSE, U
HE, M
XU, H
SUN, Q
HERRERO, C
HERRMANN, C
PROVERO, P
HONG, D
ROUX, S
HETHCOTE, H
HIGHAM, D
HILGETAG, C
ONEILL, M
SCANNELL, J
GRANT, A
KAISER, M
HILLIER, B
HANSON, J
HIRSCH, J
HODGKIN, A
HUXLEY, A
HOFF, P
RAFTERY, A
HOLLAND, P
LEINHARDT, S
HOLME, P
EDLING, C
LILJEROS, F
GHOSHAL, G
HUSS, M
KIM, B
YOON, C
HAN, S
TRUSINA, A
MINNHAGEN, P
HOLMGREN, C
HARKANY, T
SVENNENFORS, B
ZILBERTER, Y
HOLTER, N
MITRA, M
CIEPLAK, M
FEDROFF, N
HONG, H
CHOI, M
PARK, H
HORN, N
RUPPIN, E
HORWITZ, B
HUFNAGEL, L
BROCKMANN, D
HUGENII, C
YANG, J
LIU, W
HUXHAM, M
BEANEY, S
RAFFAELLI, D
LOPEZRUIZ, R
IAMNITCHI, A
RIPEANU, M
ICHINOMIYA, T
IGOSHIN, O
KAISER, D
OSTER, G
IHMELS, J
FRIEDLANDER, G
BERGMANN, S
OFERSARIG, Y
ITO, T
CHIBA, T
OZAWA, R
YOSHIDA, M
HATTORI, M
SAKAKI, Y
ITZKOVITZ, S
MILO, R
KASHTAN, N
ZIV, G
JACOB, F
MONOD, J
JACOBSON, V
JAFFE, A
TRAJTENBERG, M
JAIN, A
MURTY, M
FLYNN, P
JAIN, S
KRISHNA, S
JALAN, S
AMRITKAR, R
JANKOWSKI, S
LONDEI, A
MAZUR, C
LOZOWSKI, A
JANSEN, R
YU, H
GREENBAUM, D
KLUGER, Y
KROGAN, N
CHUNG, S
EMILI, A
SNYDER, M
GREENBLATT, J
GERSTEIN, M
JANSON, S
LUCZAK, T
RUCINSKI, A
JENSEN, H
MASON, S
TOMBOR, B
JESPERSEN, S
BLUMEN, A
SOKOLOV, I
JIA, L
SANO, M
LAI, P
CHAN, C
JIANG, B
CLARAMUNT, C
JIANG, Y
LOZADACASSOU, M
VINET, A
JIN, E
JOHNSON, S
JORDANO, P
BASCOMPTE, J
OLESEN, J
JOSIC, K
JOY, M
JOUVE, B
ROSENTIEHL, P
IMBERT, M
JUNG, S
KIM, S
PARK, Y
KALAPALA, V
SANWALANI, V
KANEKO, K
KARBOWSKI, J
KAREV, G
WOLF, Y
RZHETSKY, A
BEREZOVSKAYA, F
KOONIN, E
KARINTHY, F
KARONSKI, M
KARP, P
RILEY, M
PALEY, S
PELLEGRINITOOLE, A
KRUMMENACKER, M
KAUFFMAN, S
KAUTZ, H
SELMAN, B
SHAH, M
KEPHART, J
WHITE, S
KERMARREC, A
GANESH, A
MASSOULIE, L
KERNIGHAN, B
CHUNG, J
KIM, J
KINNEY, R
KINOUCHI, O
MARTINEZ, A
LIMA, G
LOURENC, G
RISAUGUSMAN, S
KIRKPATRICK, S
GELATT, C
VECCHI, M
KISS, I
ZHAI, Y
HUDSON, J
KLECZKOWSKI, A
GRENFELL, B
KUMAR, S
KLEVECZ, R
BOLEN, J
DURAN, O
KLOVDAHL, A
POTTERAT, J
WOODHOUSE, D
MUTH, J
MUTH, S
DARROW, W
KLYACHKO, V
KNUTH, D
KOCAREV, L
PARLITZ, U
LAURENT, G
KOCH, M
NORRIS, D
HUNDGEORGIADIS, M
PATURI, R
ERMENTROUT, B
KOR, J
KORTE, C
MILGRAM, S
KOTTER, R
STEPHAN, K
SOMMER, F
LEYVRAZ, F
KRAUSE, A
FRANK, K
MASON, D
TAYLOR, W
KREBS, V
KREE, R
KRETZSCHMAR, M
VANDUYNHOVEN, Y
SEVERIJNEN, A
SIVAKUMAR, D
UPFAL, E
ZANETTE, D
KURAMOTO, Y
NAKAO, H
KWON, O
MOON, H
LAGOFERNANDEZ, L
CORBACHO, F
HUERTA, R
SIGUENZA, J
LAHTINEN, J
KASKI, K
LAWNICZAK, A
MAXIE, K
GERISCH, A
LEE, L
HARRISON, L
MECHELLI, A
LEONE, M
ZECCHINA, R
LEVANQUYEN, M
QUILICHINI, P
BERNARD, C
ESCLAPEZ, M
BENARI, Y
GOZLAN, H
LEVIN, S
LI, C
CHEN, G
LIEBERMAN, E
HAUERT, C
NOWAK, M
ABERG, Y
LI, R
ERNEUX, T
LI, S
WAND, H
OUYANG, Q
LIU, Z
LAI, Y
HOPPENSTEADT, F
YE, N
LI, W
CAI, X
LI, X
LLINAS, R
LLOYD, A
LOCKHART, D
WINZELER, E
LOGOTHETIS, N
PAULS, J
AUGATH, M
TRINATH, T
OELTERMANN, A
LORRAIN, F
WHITE, H
LOTKA, A
LU, J
YU, X
CHEN, D
LUSSEAU, D
LU, W
CHEN, T
MACDONALD, P
MACGRAW, P
MENZINGER, M
MAHADEVAN, R
PALSSON, B
MA, H
ZENG, A
MAJORANA, E
MANGAN, S
MANNA, S
SEN, P
MARI, C
MARIOLIS, P
RIGON, R
GIACOMETTI, A
RODRIGUEZITURBE, I
MARODI, M
DOVIDIO, F
MARRO, J
DICKMAN, R
MARTIN, R
ANDRAS, P
ZALIZNYAK, A
MASOLLER, C
MARTI, A
MASSUNAGA, M
BAHIANA, M
MASUDA, N
AIHARA, K
MIWA, H
KONNO, N
MATTHEWS, P
MIROLLO, R
VALLONE, A
MCCANN, K
HASTINGS, A
HUXEL, G
MCGRAW, P
MEESTER, R
MEHRING, C
HEHL, U
KUBO, M
DIESMANN, M
MEHTA, M
MELIN, G
PERSSON, O
MENCZER, F
BELEW, R
PANT, G
RUIZ, M
SRINIVASAN, P
MERTON, R
MEWES, H
FRISHMAN, D
GULDENER, U
MANNHAUPT, G
MAYER, K
MOKREJS, M
MORGENSTERN, B
MUNSTERKOTTER, M
RUDD, S
WEIL, B
LEVITT, R
SHENORR, S
AYZENSHTAT, I
SHEFFER, M
LEVY, W
MITCHELL, M
MIZRUCHI, M
MOHAR, B
MOLLOY, M
REED, B
MONASSON, R
MONTOYA, J
MOREIRA, A
ANDRADE, J
MORELLI, L
MORENO, J
GOMEZ, J
PACHECO, A
NEKOVEE, M
VAZQUEZPRADA, M
MORRIS, M
DASGUPTA, P
NISHIKAWA, T
MROWKA, R
PATZAK, A
HERZEL, H
HOLSTE, D
MULLER, J
SCHONFISCH, B
KIRKILIONIS, M
MURRAY, J
NAGUMO, J
ARIMOTO, S
YOSHIZAWA, S
NAKAMURA, I
NEIMAN, A
PEI, X
RUSSELL, D
WOJTENEK, W
WILKENS, L
MOSS, F
BRAUN, H
HUBER, M
VOIGT, K
NEMETH, G
VATTAY, G
NETOFF, T
CLEWLEY, R
ARNO, S
KECK, T
WHITE, J
FORREST, S
BALTHROP, J
LEICHT, E
NIEBUR, E
KAMMEN, D
NIEMINEN, J
NOH, J
RIEGER, H
SIGMUND, K
RHO, K
OHIRA, T
SAWATARI, R
OKANE, D
TREVES, A
ONNELA, J
CHAKRABORTI, A
KANTO, A
JARISARAMAKI, J
ONODY, R
DECASTRO, P
OOSAWA, C
SAVAGEAU, M
ORAM, A
OSBORNE, M
ROSENBLUM, M
OTSUKA, K
KAWAI, R
HWONG, S
KO, J
CHERN, J
OVERBAY, T
OVERBEEK, R
LARSEN, N
PUSCH, G
DSOUZA, M
SELKOVJR, E
KYRPIDES, N
FONSTEIN, M
MALTSEV, N
SELKOV, E
OZANA, M
BASSLER, K
CORRAL, A
PADGETT, J
ANSELL, C
MOTWANI, R
WINOGRAD, T
PANDEY, A
MANN, M
PANDIT, S
PANDYA, R
PARK, J
PARMANANDA, P
PASEMANN, F
PASSINGHAM, R
STHEPAN, K
RUBI, M
SMITH, E
PEKALSKI, A
PENNOCK, D
GLOVER, E
PETERMANNN, T
PIMM, S
PINTO, S
LOPES, S
VIANA, R
PIOT, P
PITTS, F
PLUCHINO, A
PODANI, J
SZATHMARY, E
POLIS, G
POOL, I
KOCHEN, M
PORTER, M
MUCHA, P
WARMBRAND, C
POTHEN, A
SIMON, H
LIOU, K
ROTHENBERG, R
ZIMMERMANROGER, H
GREEN, D
TAYLOR, J
BONNEY, M
PHILLIPSPLUMMER, L
MALDONADOLONG, T
ZIMMERMAN, H
POWELL, W
WHITE, D
KOPUT, K
OWENSMITH, J
PRICE, D
RADICCHI, F
CECCONI, F
LORETO, V
PARISI, D
RAGHAVACHARI, S
GLAZIER, J
RAIN, J
RAMASCO, J
RAMEZANPOUR, A
KARIMIPOUR, V
MASHAGHI, A
RAPOPORT, A
CHAMMAH, A
HORVATH, W
SOMERA, A
MONGRU, D
REICHARDT, J
RESNICK, P
VARIAN, H
RESS, G
KREIMAN, G
RESTREPO, J
HUNT, B
RIVES, A
GALITSKI, T
DARBYDOWMAN, K
ROETHLISBERGER, F
DICKSON, W
ROGERS, J
WILLE, L
ROGISTER, F
THORNBURG, K
FABINY, L
MOLLER, M
ROMANO, S
EGUIA, M
ROSA, E
HESS, M
ROSATO, V
BOLOGNA, S
TIRITICCO, F
ROSVALL, M
BALDWIN, J
TROTTER, R
ROUGEMONT, J
HINGAMP, P
ROXIN, A
RIECKE, H
SOLLA, S
ROZENFELD, A
RULKOV, N
SUSHCHIK, M
TSIMRING, L
ABARBANEL, H
GOMEZ, S
SABIDUSSI, G
SACHTJEN, M
SAKAGUCHI, H
SHINOMOTO, S
SANDER, L
WARREN, C
SIMON, C
KOOPMAN, J
SATOR, N
BLACKMORE, C
GRANT, S
PAYNE, B
BADDELEY, R
SCHAFER, C
ABEL, H
SCHELLING, T
SCHNEEBERGER, A
SCHUSTER, S
PFEIFFER, T
MOLDENHAUER, F
KOCH, I
DANDEKAR, T
SCHUZ, A
SCHWARTZ, I
BILLINGS, L
BOLLT, E
SCHWARTZ, N
SCOTT, J
SEARLS, D
SEARY, A
RICHARDS, W
SEDGEWICK, R
SEGLEN, P
SEIDMAN, S
BANERJEE, K
BISWAS, T
CHAKRABARTI, B
DASGUPTA, S
CHATTERJEE, A
SREERAM, P
MUKHERJEE, G
SHARDANAND, U
MAES, P
SHEFI, O
GOLDING, I
SEGEV, R
BENJACOB, E
AYALI, A
SHEPARD, R
SHERRINGTON, D
SHOCKLEY, W
SHUAI, J
DURAND, D
SIGMAN, M
SIMARD, D
NADEAU, L
KROGER, H
SINGH, B
GUPTE, N
SMITH, D
TIMBERLAKE, M
SMITH, R
SNEL, B
BORK, P
HUYNEN, M
SNIJDERS, T
SOARES, D
TSALLIS, C
MARIZ, A
DASILVA, L
SOCOLAR, J
SODERBERG, B
SOFFER, S
KEPLER, T
SALAZARCIUDAD, I
GARCIAFERNANDEZ, J
SOLOMONOFF, R
CRISANTI, A
SONG, C
MAKSE, H
SONG, S
SJOSTROM, P
REIGL, M
NELSON, S
SOTELO, C
SPIRIN, V
MIRNY, L
SPORNS, O
TONONI, G
EDELMAN, G
ZWI, J
STAM, C
AHARONY, A
ADLER, J
MEYERORTMANNS, H
STELLING, J
KLAMT, S
BETTENBROCK, K
GILLES, E
KAMPER, L
BOZKURT, A
STEPHENSON, K
ZELEN, M
STEYVERS, M
TENENBAUM, J
STILLER, J
NETTLE, D
DUNBAR, R
STILWELL, D
ROBERSON, D
STONEHAM, A
STUART, J
SUCHECKI, K
SVENSON, P
SWEDBERG, R
SZABO, G
ALAVA, M
SZNAJDWERON, K
SZNAJD, J
SZYMANSKI, J
THURNER, S
TAKAYASU, M
TAKAYASU, H
SATO, T
TANAKA, R
TASS, P
WEULE, M
VOLKMANN, J
FREUND, H
TERMAN, D
TICOS, C
ROSAJR, E
PARDO, W
WALKENSTEIN, J
MONTI, M
TIERI, P
VALENSIN, S
CASTELLANI, G
REMONDINI, D
FRANCESCHI, C
TIMME, M
WOLF, F
MCINTOSH, A
TORNOW, S
KOZMA, B
HENGARTNER, N
KORNISS, G
TORRES, J
GARRIDO, P
TRAVERS, J
DEALBUQUERQUE, M
TSODYKS, M
KENET, T
GRINVALD, A
ARIELI, A
TYLER, J
WILKINSON, D
TYSON, J
CSIKASZNAGE, A
NOVAK, B
UETZ, P
CAGNEY, G
MANSFIELD, T
JUDSON, R
KNIGHT, J
LOCKSHON, D
NARAYAN, V
SRINIVASAN, M
POCHART, P
QURESHIEMILI, A
LI, Y
GODWIN, B
CONOVER, D
KALBFLEISCH, T
VIJAYADAMODAR, G
YANG, M
JOHNSTON, M
FIELDS, S
ROTHBERG, J
GLOT, L
VALENTE, T
FOREMAN, R
CANCHO, R
VANNUCCHI, F
VANPUTTEN, M
VANVREESWIJK, C
VANWIGGEREN, G
VARELA, F
LACHAUX, J
RODRIGUEZ, E
MARTINERIE, J
FLAMMINI, A
VAZQUEZ, F
VENKATESH, S
VERDASCA, J
VEZOLI, J
FALCHIER, A
KNOBLAUCH, K
KENNEDY, H
CZIROK, A
COHEN, I
SHOCHET, O
VOGELSTEIN, B
LANE, D
LEVINE, A
VOGELS, W
VANRENESSE, R
BIRMAN, K
VOLCHENKOV, D
VOLCHENKOVA, L
VONNEUMANN, J
MORGENSTERN, O
VRAGOVIC, I
LOUIS, E
VUKADINOVIC, D
HUANG, P
ERLEBACH, T
VUKMIROVIC, O
TILGHMAN, S
WALL, M
HIAVACEK, W
WALSH, T
WANG, B
ZHANG, F
WANG, J
DEWILDE, P
WANG, S
ZHANG, C
XU, J
PATTISON, P
WAXMAN, B
WEEKS, M
CLAIR, S
RADDA, K
SCHENSUL, J
WELLMAN, B
SALAFF, J
DIMITROVA, D
GARTON, L
GULIA, M
HAYTHORNTHWAITE, C
WEST, D
WEST, G
BROWN, J
ENQUIST, B
NAZER, N
SOUTHGATE, E
THOMPSON, J
BRENNER, S
WHITTINGTON, M
TRAUB, R
BUHL, E
WINFREE, A
WINFUL, H
RAHMAN, L
WOLFRAM, S
WOOD, A
WOLLENBERG, B
WOOLF, M
WORMALD, N
WUCHTY, S
WU, C
CHUA, L
WU, F
RICE, D
SALWINSKI, L
BARON, M
XULVIBRUNET, R
YANG, K
HUANG, L
YANG, L
YAN, G
ZHOU, T
FU, Z
YAOUM, Y
LAUMANN, E
YEHIA, A
JEANDUPREUX, D
ALONSO, F
GUEVARA, M
YEUNG, M
YOOK, S
TU, Y
YOUNG, H
SAGER, J
CSARDI, G
HAGA, P
YUSONG, T
LINGJIANG, K
MUREN, L
ZACHARY, W
ZAKS, M
PARK, E
ZASLAVER, A
MAYO, A
ROSENBERG, R
BASHKIN, P
SBERRO, H
TSALYUK, M
ZEKRI, N
CLERC, J
CERDEIRA, H
CHEN, S
BRAUN, T
YAO, Y
ZHAN, M
ZHENG, D
TRIMPER, S
ZHENG, B
HUI, P
ZHENG, Z
ZHONGBAO, K
CHANGSHUI, Z
ZHOU, H
ZHOU, S
MONDRAGON, R
ZHU, H
HUANG, Z
ZHU, J
ZIMMERMANN, M
